source_run	defect_class	dialog_index	turn_index	message_id	strict_signals	turn_text	observed_action	observed_intent	observed_tool_action	observed_tool_decision	response_snippet	expected_contract	cause_class	owner	planned_test	status
booking-human-critical-hq1-l2-contract-first-a1-r5	requested_date_time_like	8	14	LLM-QUAL-booking-human-critical-hq1-l2-contract-first-a1-r5-008-14-f237ad	judge_fail|judge:missed_question	Да, подтверждаю.	reply	calendar.list_slots	calendar.list_slots	ok	Свободных слотов не нашлось. Могу предложить другое время.  На какую услугу хотите записаться?	follow-up slot check must not carry time token into requested_date	behavior	a1	truffles-api/tests/test_calendar_slot_response_contract.py::test_requested_date_not_time_token_for_followup_turn	open
booking-human-micro-critical-slotfix-a1-r6	requested_date_time_like	1	12	LLM-QUAL-booking-human-micro-critical-slotfix-a1-r6-001-12-ad427a		Можно на 18:30?	reply	calendar.list_slots	calendar.list_slots	ok	На 18:30 свободных окон нет. Могу предложить другое время.	micro critical path must normalize relative date before slot call	behavior	a1	truffles-api/tests/test_calendar_slot_response_contract.py::test_execute_list_slots_prefers_relative_date_over_time_only_start_at	open
booking-human-critical-hq1-l2-contract-first-a1-r5	timeout_degrade_booking_generic	5	14	LLM-QUAL-booking-human-critical-hq1-l2-contract-first-a1-r5-005-14-29adaa	expected_reply_type_mismatch|judge_fail|judge:missed_question	Можно на 18:30?	reply	policy_core_guard			Подскажите, пожалуйста, что именно вас интересует?	timeout degrade must not return generic clarify in booking turn	behavior	a1	truffles-api/tests/test_message_endpoint.py::test_timeout_degrade_booking_uses_slot_fallback	open
booking-human-critical-hq1-l2-contract-first-a1-r5	timeout_degrade_booking_generic	6	14	LLM-QUAL-booking-human-critical-hq1-l2-contract-first-a1-r5-006-14-9fcd2d	judge_fail|judge:missed_question	Проверьте, пожалуйста, мою запись на завтра на 18:30.	reply	policy_core_guard			Подскажите, пожалуйста, что именно вас интересует?	timeout degrade during check_booking must use booking-safe prompt	behavior	a1	truffles-api/tests/test_message_endpoint.py::test_timeout_degrade_booking_check_booking_flow	open
booking-human-critical-hq1-l2-contract-first-a1-r5	stale_booking_carryover	1	9	LLM-QUAL-booking-human-critical-hq1-l2-contract-first-a1-r5-001-09-2a01aa		Есть ли у вас акции на стрижки?	reply	discounts			Ещё был вопрос по записи. Уточните, пожалуйста.  Официальные акции: Первое посещение: 10% (на услуги); Именинник: 15% (7 дней до/после даты рождения); Студент/пенсионер: 10% (по будням 11:00–16:00). Скидки не суммируются, акции и промокоды 	discount/info reply must not prepend stale booking reminder	behavior	a1	truffles-api/tests/test_booking_prompt_leak_guard.py::test_next_booking_prompt_name_does_not_repeat_datetime_fragment	open
booking-human-critical-hq1-l2-contract-first-a1-r5	stale_booking_carryover	3	8	LLM-QUAL-booking-human-critical-hq1-l2-contract-first-a1-r5-003-08-02fb43		У вас есть какие-то акции?	reply	discounts			Ещё был вопрос по записи. Уточните, пожалуйста.  Официальные акции: Первое посещение: 10% (на услуги); Именинник: 15% (7 дней до/после даты рождения); Студент/пенсионер: 10% (по будням 11:00–16:00). Скидки не суммируются, акции и промокоды 	promotions reply in booking context must be clean FACT reply	behavior	a1	truffles-api/tests/test_booking_quality_response_guard.py::test_evaluate_turn_flags_booking_prompt_leak	open
booking-human-critical-hq1-l2-contract-first-a1-r5	stale_booking_carryover	7	5	LLM-QUAL-booking-human-critical-hq1-l2-contract-first-a1-r5-007-05-f81f05		Я слышал, что у вас есть скидки на стрижки.	reply	discounts			Ещё был вопрос по записи. Уточните, пожалуйста.  Официальные акции: Первое посещение: 10% (на услуги); Именинник: 15% (7 дней до/после даты рождения); Студент/пенсионер: 10% (по будням 11:00–16:00). Скидки не суммируются, акции и промокоды 	promo intent must not leak booking carryover fragment	behavior	a1	truffles-api/tests/test_booking_quality_response_guard.py::test_evaluate_turn_flags_booking_prompt_leak	open
booking-human-nojudge-hq1-l1-contract-first-a1-r6	incomplete_run_artifact	-	-	booking-human-nojudge-hq1-l1-contract-first-a1-r6	missing_summary|missing_brief	run artifact set incomplete					responses.jsonl/trace_bundle.jsonl exist, summary.json/brief.md missing	acceptance evidence requires summary.json + brief.md	process	a1	ops/diagnose.py quality_status gate for incomplete artifacts	open
booking-human-nojudge-hq1-l1-contract-first-a1-r8	incomplete_run_artifact	-	-	booking-human-nojudge-hq1-l1-contract-first-a1-r8	missing_summary|missing_brief|run_completion_gap	run artifact set incomplete					responses=101/112, summary.json/brief.md missing	acceptance evidence requires complete run artifacts (summary+brief+responses+trace)	process	a1	ops/diagnose.py::test_llm_quality_blocks_incomplete_run_artifacts	open
booking-human-nojudge-hq1-l1-contract-first-a1-r8	trace_response_mismatch	8	3	LLM-QUAL-booking-human-nojudge-hq1-l1-contract-first-a1-r8-008-03-c286cf	trace_response_mismatch	Во сколько у вас свободные слоты?	reply	calendar.list_slots	calendar.list_slots	ok	trace row missing for existing response row	trace_bundle rows must match responses rows 1:1	process	a1	ops/diagnose.py::test_llm_quality_run_integrity_trace_response_mismatch	open
booking-human-micro-critical-slotfix-a1-r16	stale_prompt_date_mismatch	1	7	LLM-QUAL-booking-human-micro-critical-slotfix-a1-r16-001-07-cb024b	degraded|stale_prompt_date_mismatch|clarify_after_slots	Я хочу записаться на маникюр на сегодня.	reply	calendar.list_slots	calendar.list_slots	ok	Свободные слоты... Понял, 2023-10-05. Подскажите, пожалуйста, точное время.	follow-up date must align with resolved_date and must not leak stale booking datetime	behavior	a1	truffles-api/tests/test_calendar_slot_response_contract.py::test_execute_list_slots_datetime_value_normalizes_requested_date	open
booking-human-micro-critical-slotfix-a1-r16	stale_prompt_date_mismatch	1	8	LLM-QUAL-booking-human-micro-critical-slotfix-a1-r16-001-08-8b5b92	degraded|stale_prompt_date_mismatch|clarify_after_slots	Нет, я имел в виду на завтра.	reply	calendar.list_slots	calendar.list_slots	ok	Свободные слоты... Понял, 2023-10-05. Подскажите, пожалуйста, точное время.	relative-date interrupt must override stale datetime in booking follow-up	behavior	a1	truffles-api/tests/test_calendar_slot_response_contract.py::test_execute_list_slots_prefers_relative_date_over_time_only_start_at	open
booking-human-micro-critical-slotfix-a1-r16	requested_date_time_like	1	12	LLM-QUAL-booking-human-micro-critical-slotfix-a1-r16-001-12-63363f	degraded|requested_date_time_like|requested_time_not_in_slots	Можно на 18:30?	reply	calendar.list_slots	calendar.list_slots	ok	На 18:30 свободного окна нет... / requested_date=2023-10-05 18:30	requested_date must store date token only; time token must stay in requested_time	behavior	a1	truffles-api/tests/test_calendar_slot_response_contract.py::test_execute_list_slots_datetime_value_normalizes_requested_date	open
booking-human-micro-critical-slotfix-a1-r9	judge_fail_suppressed	1	9	LLM-QUAL-booking-human-micro-critical-slotfix-a1-r9-001-09-fe594b	judge_fail_suppressed|judge:missed_question	Могу прислать фото своих ногтей.	reply	style_reference			Сделаем максимально близко... Отлично, время подходит. Как вас зовут?	missed_question judge fail must not be silently suppressed outside explicit allowlist reason-code	quality	a1	truffles-api/tests/test_booking_quality_judge_suppression.py::test_missed_question_not_suppressed_without_allowlist_reason	open
booking-replay-20260223-contractized-a1-full-critical-ffda-step7b	runtime_test_mode_mismatch	-	-	booking-replay-20260223-contractized-a1-full-critical-ffda-step7b	simulation_ignored|chatflow_plan_expired|run_completion_gap	runtime started without TEST_MODE=1; simulation metadata ignored; transport side-effects observed					run stopped at 13/112 with manager_action_failed + webhook_error curl_error: rc=-2	critical replay must run on test runtime (simulation allowed) and be excluded from acceptance when contaminated by transport	process	a1	ops/diagnose.py::llm_quality_runtime_preflight_test_mode_gate	open
booking-replay-20260223-contractized-a1-full-critical-ffda-step7c	incomplete_run_artifact	-	-	booking-replay-20260223-contractized-a1-full-critical-ffda-step7c	run_completion_gap|signal_2	full critical replay interrupted (3/112 turns)					invalid for comparison/baseline/acceptance	run integrity gate must quarantine all signal-stopped incomplete replays	process	a1	ops/diagnose.py::test_llm_quality_blocks_run_completion_gap	open
booking-replay-20260223-contractized-a1-full-critical-ffda-step7d	incomplete_run_artifact	-	-	booking-replay-20260223-contractized-a1-full-critical-ffda-step7d	run_completion_gap|signal_2	full critical replay interrupted (17/112 turns)					invalid for comparison/baseline/acceptance	run integrity gate must quarantine all signal-stopped incomplete replays	process	a1	ops/diagnose.py::test_llm_quality_blocks_run_completion_gap	open
